Leading Cancer Sites,States,Year,Age Groups,Gender,Gender Code,Count,Population,Crude Rate,Region,Age_Flag,Age_max
Brain and Other Nervous System,Georgia,2018,50-54 years,Female,F,16.0,355946.0,4.5,South,Middle age group,54.0
Brain and Other Nervous System,Georgia,2018,55-59 years,Female,F,24.0,354617.0,6.8,South,Middle age group,59.0
Brain and Other Nervous System,Georgia,2018,60-64 years ,Female,F,21.0,319813.0,6.6,South,Middle age group,64.0
Brain and Other Nervous System,Georgia,2018,65-69 years,Female,F,39.0,272167.0,14.3,South,Elderly group,69.0
Brain and Other Nervous System,Georgia,2018,70-74 years,Female,F,34.0,215369.0,15.8,South,Elderly group,74.0
Brain and Other Nervous System,Georgia,2018,75-79 years,Female,F,26.0,145780.0,17.8,South,Elderly group,79.0
Brain and Other Nervous System,Illinois,2018,5-9 years,Female,F,17.0,380465.0,4.5,Mid-West,Pediatric group,9.0
Brain and Other Nervous System,Illinois,2018,10-14 years,Female,F,20.0,402053.0,5.0,Mid-West,Pediatric group,14.0
Brain and Other Nervous System,Illinois,2018,25-29 years,Female,F,19.0,445431.0,4.3,Mid-West,Young age group,29.0
Brain and Other Nervous System,Illinois,2018,45-49 years,Female,F,20.0,412101.0,4.9,Mid-West,Adult age group,49.0
Brain and Other Nervous System,Illinois,2018,50-54 years,Female,F,27.0,415869.0,6.5,Mid-West,Middle age group,54.0
Brain and Other Nervous System,Illinois,2018,55-59 years,Female,F,36.0,443789.0,8.1,Mid-West,Middle age group,59.0
Brain and Other Nervous System,Illinois,2018,60-64 years ,Female,F,28.0,413648.0,6.8,Mid-West,Middle age group,64.0
Brain and Other Nervous System,Illinois,2018,65-69 years,Female,F,41.0,343373.0,11.9,Mid-West,Elderly group,69.0
Brain and Other Nervous System,Illinois,2018,70-74 years,Female,F,47.0,266233.0,17.7,Mid-West,Elderly group,74.0
Brain and Other Nervous System,Illinois,2018,75-79 years,Female,F,34.0,196163.0,17.3,Mid-West,Elderly group,79.0
Brain and Other Nervous System,Illinois,2018,80-84 years,Female,F,29.0,138556.0,20.9,Mid-West,Elderly group,84.0
Brain and Other Nervous System,Illinois,2018,85+ years,Female,F,16.0,175970.0,9.1,Mid-West,Elderly group,89.0
Brain and Other Nervous System,Indiana,2018,55-59 years,Female,F,16.0,230466.0,6.9,Mid-West,Middle age group,59.0
Brain and Other Nervous System,Indiana,2018,60-64 years ,Female,F,25.0,217674.0,11.5,Mid-West,Middle age group,64.0
Brain and Other Nervous System,Indiana,2018,65-69 years,Female,F,20.0,184165.0,10.9,Mid-West,Elderly group,69.0
Brain and Other Nervous System,Indiana,2018,70-74 years,Female,F,22.0,142042.0,15.5,Mid-West,Elderly group,74.0
Brain and Other Nervous System,Indiana,2018,80-84 years,Female,F,21.0,71943.0,29.2,Mid-West,Elderly group,84.0
Brain and Other Nervous System,Kentucky,2018,60-64 years ,Female,F,17.0,151051.0,11.3,South,Middle age group,64.0
Brain and Other Nervous System,Kentucky,2018,65-69 years,Female,F,19.0,129301.0,14.7,South,Elderly group,69.0
Brain and Other Nervous System,Kentucky,2018,75-79 years,Female,F,18.0,72668.0,24.8,South,Elderly group,79.0
Brain and Other Nervous System,Louisiana,2018,60-64 years ,Female,F,16.0,154516.0,10.4,South,Middle age group,64.0
Brain and Other Nervous System,Maryland,2018,55-59 years,Female,F,22.0,226072.0,9.7,South,Middle age group,59.0
Brain and Other Nervous System,Maryland,2018,60-64 years ,Female,F,18.0,201054.0,9.0,South,Middle age group,64.0
Brain and Other Nervous System,Maryland,2018,70-74 years,Female,F,20.0,131206.0,15.2,South,Elderly group,74.0
Brain and Other Nervous System,Massachusetts,2018,55-59 years,Female,F,31.0,253596.0,12.2,North-East,Middle age group,59.0
Brain and Other Nervous System,Massachusetts,2018,60-64 years ,Female,F,21.0,233471.0,9.0,North-East,Middle age group,64.0
Brain and Other Nervous System,Massachusetts,2018,65-69 years,Female,F,27.0,195380.0,13.8,North-East,Elderly group,69.0
Brain and Other Nervous System,Massachusetts,2018,70-74 years,Female,F,29.0,155284.0,18.7,North-East,Elderly group,74.0
Brain and Other Nervous System,Massachusetts,2018,75-79 years,Female,F,26.0,108987.0,23.9,North-East,Elderly group,79.0
Brain and Other Nervous System,Massachusetts,2018,85+ years,Female,F,16.0,105609.0,15.2,North-East,Elderly group,89.0
Brain and Other Nervous System,Michigan,2018,35-39 years,Female,F,18.0,300651.0,6.0,Mid-West,Adult age group,39.0
Brain and Other Nervous System,Michigan,2018,45-49 years,Female,F,16.0,318936.0,5.0,Mid-West,Adult age group,49.0
Brain and Other Nervous System,Michigan,2018,50-54 years,Female,F,26.0,334345.0,7.8,Mid-West,Middle age group,54.0
Brain and Other Nervous System,Michigan,2018,55-59 years,Female,F,22.0,365913.0,6.0,Mid-West,Middle age group,59.0
Brain and Other Nervous System,Michigan,2018,60-64 years ,Female,F,36.0,355506.0,10.1,Mid-West,Middle age group,64.0
Brain and Other Nervous System,Michigan,2018,65-69 years,Female,F,38.0,299902.0,12.7,Mid-West,Elderly group,69.0
Brain and Other Nervous System,Michigan,2018,70-74 years,Female,F,39.0,230266.0,16.9,Mid-West,Elderly group,74.0
Brain and Other Nervous System,Michigan,2018,75-79 years,Female,F,34.0,165331.0,20.6,Mid-West,Elderly group,79.0
Brain and Other Nervous System,Michigan,2018,80-84 years,Female,F,18.0,112995.0,15.9,Mid-West,Elderly group,84.0
Brain and Other Nervous System,Minnesota,2018,70-74 years,Female,F,21.0,113281.0,18.5,Mid-West,Elderly group,74.0
Brain and Other Nervous System,Minnesota,2018,75-79 years,Female,F,20.0,82833.0,24.1,Mid-West,Elderly group,79.0
Brain and Other Nervous System,Missouri,2018,55-59 years,Female,F,16.0,220345.0,7.3,Mid-West,Middle age group,59.0
Brain and Other Nervous System,Missouri,2018,60-64 years ,Female,F,21.0,207860.0,10.1,Mid-West,Middle age group,64.0
Brain and Other Nervous System,Missouri,2018,65-69 years,Female,F,27.0,176260.0,15.3,Mid-West,Elderly group,69.0
Brain and Other Nervous System,Missouri,2018,70-74 years,Female,F,28.0,139347.0,20.1,Mid-West,Elderly group,74.0
Brain and Other Nervous System,Missouri,2018,75-79 years,Female,F,24.0,102563.0,23.4,Mid-West,Elderly group,79.0
Brain and Other Nervous System,New Jersey,2018,5-9 years,Female,F,17.0,261540.0,6.5,North-East,Pediatric group,9.0
Brain and Other Nervous System,New Jersey,2018,50-54 years,Female,F,27.0,325195.0,8.3,North-East,Middle age group,54.0
Brain and Other Nervous System,New Jersey,2018,55-59 years,Female,F,31.0,331265.0,9.4,North-East,Middle age group,59.0
Brain and Other Nervous System,New Jersey,2018,60-64 years ,Female,F,32.0,298300.0,10.7,North-East,Middle age group,64.0
Brain and Other Nervous System,New Jersey,2018,65-69 years,Female,F,37.0,241477.0,15.3,North-East,Elderly group,69.0
Brain and Other Nervous System,New Jersey,2018,70-74 years,Female,F,37.0,196837.0,18.8,North-East,Elderly group,74.0
Brain and Other Nervous System,New Jersey,2018,75-79 years,Female,F,35.0,144512.0,24.2,North-East,Elderly group,79.0
Brain and Other Nervous System,New Jersey,2018,80-84 years,Female,F,23.0,103024.0,22.3,North-East,Elderly group,84.0
Brain and Other Nervous System,New Jersey,2018,85+ years,Female,F,21.0,134231.0,15.6,North-East,Elderly group,89.0
Brain and Other Nervous System,New York,2018,1-4 years,Female,F,23.0,446794.0,5.1,North-East,Pediatric group,4.0
Brain and Other Nervous System,New York,2018,5-9 years,Female,F,20.0,547472.0,3.7,North-East,Pediatric group,9.0
Brain and Other Nervous System,New York,2018,10-14 years,Female,F,22.0,546489.0,4.0,North-East,Pediatric group,14.0
Brain and Other Nervous System,New York,2018,25-29 years,Female,F,19.0,740234.0,2.6,North-East,Young age group,29.0
Brain and Other Nervous System,New York,2018,30-34 years,Female,F,31.0,696332.0,4.5,North-East,Adult age group,34.0
Brain and Other Nervous System,New York,2018,40-44 years,Female,F,18.0,588758.0,3.1,North-East,Adult age group,44.0
Brain and Other Nervous System,New York,2018,45-49 years,Female,F,28.0,634792.0,4.4,North-East,Adult age group,49.0
Brain and Other Nervous System,New York,2018,50-54 years,Female,F,43.0,676985.0,6.4,North-East,Middle age group,54.0
Brain and Other Nervous System,New York,2018,55-59 years,Female,F,55.0,704047.0,7.8,North-East,Middle age group,59.0
Brain and Other Nervous System,New York,2018,60-64 years ,Female,F,64.0,646803.0,9.9,North-East,Middle age group,64.0
Brain and Other Nervous System,New York,2018,65-69 years,Female,F,65.0,545110.0,11.9,North-East,Elderly group,69.0
Brain and Other Nervous System,New York,2018,70-74 years,Female,F,73.0,436405.0,16.7,North-East,Elderly group,74.0
Brain and Other Nervous System,New York,2018,75-79 years,Female,F,47.0,320704.0,14.7,North-East,Elderly group,79.0
Brain and Other Nervous System,New York,2018,80-84 years,Female,F,39.0,232201.0,16.8,North-East,Elderly group,84.0
Brain and Other Nervous System,New York,2018,85+ years,Female,F,26.0,302514.0,8.6,North-East,Elderly group,89.0
Brain and Other Nervous System,North Carolina,2018,50-54 years,Female,F,16.0,348926.0,4.6,South,Middle age group,54.0
Brain and Other Nervous System,North Carolina,2018,55-59 years,Female,F,32.0,363006.0,8.8,South,Middle age group,59.0
Brain and Other Nervous System,North Carolina,2018,60-64 years ,Female,F,32.0,343367.0,9.3,South,Middle age group,64.0
Brain and Other Nervous System,North Carolina,2018,65-69 years,Female,F,33.0,302563.0,10.9,South,Elderly group,69.0
Brain and Other Nervous System,North Carolina,2018,70-74 years,Female,F,36.0,243858.0,14.8,South,Elderly group,74.0
Brain and Other Nervous System,North Carolina,2018,75-79 years,Female,F,31.0,167112.0,18.6,South,Elderly group,79.0
Brain and Other Nervous System,North Carolina,2018,80-84 years,Female,F,17.0,113545.0,15.0,South,Elderly group,84.0
Brain and Other Nervous System,Ohio,2018,10-14 years,Female,F,20.0,361306.0,5.5,Mid-West,Pediatric group,14.0
Brain and Other Nervous System,Ohio,2018,45-49 years,Female,F,16.0,370337.0,4.3,Mid-West,Adult age group,49.0
Brain and Other Nervous System,Ohio,2018,50-54 years,Female,F,19.0,381445.0,5.0,Mid-West,Middle age group,54.0
Brain and Other Nervous System,Ohio,2018,55-59 years,Female,F,27.0,421876.0,6.4,Mid-West,Middle age group,59.0
Brain and Other Nervous System,Ohio,2018,60-64 years ,Female,F,54.0,409781.0,13.2,Mid-West,Middle age group,64.0
Brain and Other Nervous System,Ohio,2018,65-69 years,Female,F,50.0,344812.0,14.5,Mid-West,Elderly group,69.0
Brain and Other Nervous System,Ohio,2018,70-74 years,Female,F,41.0,266484.0,15.4,Mid-West,Elderly group,74.0
Brain and Other Nervous System,Ohio,2018,75-79 years,Female,F,39.0,196200.0,19.9,Mid-West,Elderly group,79.0
Brain and Other Nervous System,Ohio,2018,80-84 years,Female,F,27.0,140035.0,19.3,Mid-West,Elderly group,84.0
Brain and Other Nervous System,Ohio,2018,85+ years,Female,F,25.0,167586.0,14.9,Mid-West,Elderly group,89.0
Brain and Other Nervous System,Oklahoma,2018,65-69 years,Female,F,20.0,105471.0,19.0,South,Elderly group,69.0
Brain and Other Nervous System,Pennsylvania,2018,1-4 years,Female,F,18.0,277194.0,6.5,North-East,Pediatric group,4.0
Brain and Other Nervous System,Pennsylvania,2018,30-34 years,Female,F,18.0,409661.0,4.4,North-East,Adult age group,34.0
Brain and Other Nervous System,Pennsylvania,2018,45-49 years,Female,F,21.0,402271.0,5.2,North-East,Adult age group,49.0
Brain and Other Nervous System,Pennsylvania,2018,50-54 years,Female,F,22.0,434376.0,5.1,North-East,Middle age group,54.0
Brain and Other Nervous System,Pennsylvania,2018,55-59 years,Female,F,41.0,473108.0,8.7,North-East,Middle age group,59.0
Brain and Other Nervous System,Pennsylvania,2018,60-64 years ,Female,F,45.0,459508.0,9.8,North-East,Middle age group,64.0
Brain and Other Nervous System,Pennsylvania,2018,65-69 years,Female,F,48.0,387838.0,12.4,North-East,Elderly group,69.0
Brain and Other Nervous System,Pennsylvania,2018,70-74 years,Female,F,58.0,307970.0,18.8,North-East,Elderly group,74.0
Brain and Other Nervous System,Pennsylvania,2018,75-79 years,Female,F,58.0,227858.0,25.5,North-East,Elderly group,79.0
Brain and Other Nervous System,Pennsylvania,2018,80-84 years,Female,F,27.0,167391.0,16.1,North-East,Elderly group,84.0
Brain and Other Nervous System,Pennsylvania,2018,85+ years,Female,F,36.0,221421.0,16.3,North-East,Elderly group,89.0
Brain and Other Nervous System,South Carolina,2018,65-69 years,Female,F,20.0,163817.0,12.2,South,Elderly group,69.0
Brain and Other Nervous System,South Carolina,2018,70-74 years,Female,F,19.0,132628.0,14.3,South,Elderly group,74.0
Brain and Other Nervous System,South Carolina,2018,75-79 years,Female,F,17.0,89242.0,19.0,South,Elderly group,79.0
Brain and Other Nervous System,Tennessee,2018,50-54 years,Female,F,18.0,225104.0,8.0,South,Middle age group,54.0
Brain and Other Nervous System,Tennessee,2018,55-59 years,Female,F,21.0,237259.0,8.9,South,Middle age group,59.0
Brain and Other Nervous System,Tennessee,2018,60-64 years ,Female,F,20.0,226418.0,8.8,South,Middle age group,64.0
Brain and Other Nervous System,Tennessee,2018,65-69 years,Female,F,34.0,195797.0,17.4,South,Elderly group,69.0
Brain and Other Nervous System,Tennessee,2018,70-74 years,Female,F,25.0,157672.0,15.9,South,Elderly group,74.0
Brain and Other Nervous System,Texas,2018,1-4 years,Female,F,24.0,796140.0,3.0,South,Pediatric group,4.0
Brain and Other Nervous System,Texas,2018,5-9 years,Female,F,37.0,1004640.0,3.7,South,Pediatric group,9.0
Brain and Other Nervous System,Texas,2018,10-14 years,Female,F,17.0,1025153.0,1.7,South,Pediatric group,14.0
Brain and Other Nervous System,Texas,2018,15-19 years,Female,F,16.0,993427.0,1.6,South,Young age group,19.0
Brain and Other Nervous System,Texas,2018,20-24 years,Female,F,17.0,965985.0,1.8,South,Young age group,24.0
Brain and Other Nervous System,Texas,2018,25-29 years,Female,F,24.0,1053553.0,2.3,South,Young age group,29.0
Brain and Other Nervous System,Texas,2018,30-34 years,Female,F,28.0,1020463.0,2.7,South,Adult age group,34.0
Brain and Other Nervous System,Texas,2018,35-39 years,Female,F,20.0,1007186.0,2.0,South,Adult age group,39.0
Brain and Other Nervous System,Texas,2018,40-44 years,Female,F,29.0,924786.0,3.1,South,Adult age group,44.0
Brain and Other Nervous System,Texas,2018,45-49 years,Female,F,30.0,927092.0,3.2,South,Adult age group,49.0
Brain and Other Nervous System,Texas,2018,50-54 years,Female,F,37.0,857165.0,4.3,South,Middle age group,54.0
Brain and Other Nervous System,Texas,2018,55-59 years,Female,F,77.0,871539.0,8.8,South,Middle age group,59.0
Brain and Other Nervous System,Texas,2018,60-64 years ,Female,F,75.0,787728.0,9.5,South,Middle age group,64.0
Brain and Other Nervous System,Texas,2018,65-69 years,Female,F,93.0,648838.0,14.3,South,Elderly group,69.0
Brain and Other Nervous System,Texas,2018,70-74 years,Female,F,74.0,502237.0,14.7,South,Elderly group,74.0
Brain and Other Nervous System,Texas,2018,75-79 years,Female,F,72.0,345625.0,20.8,South,Elderly group,79.0
Brain and Other Nervous System,Texas,2018,80-84 years,Female,F,38.0,236256.0,16.1,South,Elderly group,84.0
Brain and Other Nervous System,Texas,2018,85+ years,Female,F,38.0,254632.0,14.9,South,Elderly group,89.0
Brain and Other Nervous System,Virginia,2018,55-59 years,Female,F,17.0,299679.0,5.7,South,Middle age group,59.0
Brain and Other Nervous System,Virginia,2018,60-64 years ,Female,F,22.0,273902.0,8.0,South,Middle age group,64.0
Brain and Other Nervous System,Virginia,2018,65-69 years,Female,F,28.0,230413.0,12.2,South,Elderly group,69.0
Brain and Other Nervous System,Virginia,2018,70-74 years,Female,F,20.0,186534.0,10.7,South,Elderly group,74.0
Brain and Other Nervous System,Virginia,2018,75-79 years,Female,F,21.0,130272.0,16.1,South,Elderly group,79.0
Brain and Other Nervous System,Washington,2018,50-54 years,Female,F,16.0,229065.0,7.0,West,Middle age group,54.0
Brain and Other Nervous System,Washington,2018,55-59 years,Female,F,20.0,248951.0,8.0,West,Middle age group,59.0
Brain and Other Nervous System,Washington,2018,60-64 years ,Female,F,31.0,242035.0,12.8,West,Middle age group,64.0
Brain and Other Nervous System,Washington,2018,65-69 years,Female,F,27.0,209677.0,12.9,West,Elderly group,69.0
Brain and Other Nervous System,Washington,2018,70-74 years,Female,F,26.0,161986.0,16.1,West,Elderly group,74.0
Brain and Other Nervous System,Washington,2018,75-79 years,Female,F,19.0,105663.0,18.0,West,Elderly group,79.0
Brain and Other Nervous System,Washington,2018,85+ years,Female,F,21.0,84363.0,24.9,West,Elderly group,89.0
Brain and Other Nervous System,Wisconsin,2018,55-59 years,Female,F,23.0,215288.0,10.7,Mid-West,Middle age group,59.0
Brain and Other Nervous System,Wisconsin,2018,60-64 years ,Female,F,23.0,199931.0,11.5,Mid-West,Middle age group,64.0
Brain and Other Nervous System,Wisconsin,2018,65-69 years,Female,F,18.0,168014.0,10.7,Mid-West,Elderly group,69.0
Brain and Other Nervous System,Wisconsin,2018,70-74 years,Female,F,19.0,125807.0,15.1,Mid-West,Elderly group,74.0
Brain and Other Nervous System,Wisconsin,2018,75-79 years,Female,F,20.0,91651.0,21.8,Mid-West,Elderly group,79.0
Breast,Alabama,2018,30-34 years,Female,F,40.0,155764.0,25.7,South,Adult age group,34.0
Breast,Alabama,2018,35-39 years,Female,F,111.0,156461.0,70.9,South,Adult age group,39.0
Breast,Alabama,2018,40-44 years,Female,F,207.0,148950.0,139.0,South,Adult age group,44.0
Breast,Alabama,2018,45-49 years,Female,F,278.0,161114.0,172.5,South,Adult age group,49.0
Breast,Alabama,2018,50-54 years,Female,F,326.0,161960.0,201.3,South,Middle age group,54.0
Breast,Alabama,2018,55-59 years,Female,F,442.0,175201.0,252.3,South,Middle age group,59.0
Breast,Alabama,2018,60-64 years ,Female,F,533.0,168342.0,316.6,South,Middle age group,64.0
Breast,Alabama,2018,65-69 years,Female,F,545.0,145302.0,375.1,South,Elderly group,69.0
Breast,Alabama,2018,70-74 years,Female,F,550.0,117686.0,467.3,South,Elderly group,74.0
Breast,Alabama,2018,75-79 years,Female,F,377.0,84846.0,444.3,South,Elderly group,79.0
Breast,Alabama,2018,80-84 years,Female,F,225.0,58233.0,386.4,South,Elderly group,84.0
Breast,Alabama,2018,85+ years,Female,F,206.0,60008.0,343.3,South,Elderly group,89.0
Breast,Alaska,2018,35-39 years,Female,F,19.0,24856.0,76.4,West,Adult age group,39.0
Breast,Alaska,2018,40-44 years,Female,F,27.0,20441.0,132.1,West,Adult age group,44.0
Breast,Alaska,2018,45-49 years,Female,F,52.0,20722.0,250.9,West,Adult age group,49.0
Breast,Alaska,2018,50-54 years,Female,F,51.0,21283.0,239.6,West,Middle age group,54.0
Breast,Alaska,2018,55-59 years,Female,F,66.0,23613.0,279.5,West,Middle age group,59.0
Breast,Alaska,2018,60-64 years ,Female,F,66.0,22207.0,297.2,West,Middle age group,64.0
Breast,Alaska,2018,65-69 years,Female,F,76.0,16977.0,447.7,West,Elderly group,69.0
Breast,Alaska,2018,70-74 years,Female,F,56.0,11429.0,490.0,West,Elderly group,74.0
Breast,Alaska,2018,75-79 years,Female,F,20.0,7005.0,285.5,West,Elderly group,79.0
Breast,Arizona,2018,25-29 years,Female,F,27.0,248869.0,10.8,West,Young age group,29.0
Breast,Arizona,2018,30-34 years,Female,F,61.0,225892.0,27.0,West,Adult age group,34.0
Breast,Arizona,2018,35-39 years,Female,F,116.0,224917.0,51.6,West,Adult age group,39.0
Breast,Arizona,2018,40-44 years,Female,F,241.0,209774.0,114.9,West,Adult age group,44.0
Breast,Arizona,2018,45-49 years,Female,F,405.0,216204.0,187.3,West,Adult age group,49.0
Breast,Arizona,2018,50-54 years,Female,F,388.0,212183.0,182.9,West,Middle age group,54.0
Breast,Arizona,2018,55-59 years,Female,F,538.0,227767.0,236.2,West,Middle age group,59.0
Breast,Arizona,2018,60-64 years ,Female,F,672.0,224349.0,299.5,West,Middle age group,64.0
Breast,Arizona,2018,65-69 years,Female,F,814.0,208318.0,390.7,West,Elderly group,69.0
Breast,Arizona,2018,70-74 years,Female,F,795.0,178478.0,445.4,West,Elderly group,74.0
Breast,Arizona,2018,75-79 years,Female,F,549.0,127735.0,429.8,West,Elderly group,79.0
Breast,Arizona,2018,80-84 years,Female,F,328.0,80665.0,406.6,West,Elderly group,84.0
Breast,Arizona,2018,85+ years,Female,F,235.0,84024.0,279.7,West,Elderly group,89.0
Breast,Arkansas,2018,25-29 years,Female,F,16.0,102658.0,15.6,South,Young age group,29.0
Breast,Arkansas,2018,30-34 years,Female,F,36.0,95113.0,37.8,South,Adult age group,34.0
Breast,Arkansas,2018,35-39 years,Female,F,60.0,95839.0,62.6,South,Adult age group,39.0
Breast,Arkansas,2018,40-44 years,Female,F,112.0,89175.0,125.6,South,Adult age group,44.0
Breast,Arkansas,2018,45-49 years,Female,F,171.0,93351.0,183.2,South,Adult age group,49.0
Breast,Arkansas,2018,50-54 years,Female,F,200.0,93735.0,213.4,South,Middle age group,54.0
Breast,Arkansas,2018,55-59 years,Female,F,307.0,101612.0,302.1,South,Middle age group,59.0
Breast,Arkansas,2018,60-64 years ,Female,F,306.0,97622.0,313.5,South,Middle age group,64.0
Breast,Arkansas,2018,65-69 years,Female,F,341.0,86261.0,395.3,South,Elderly group,69.0
Breast,Arkansas,2018,70-74 years,Female,F,319.0,71161.0,448.3,South,Elderly group,74.0
Breast,Arkansas,2018,75-79 years,Female,F,264.0,52169.0,506.0,South,Elderly group,79.0
Breast,Arkansas,2018,80-84 years,Female,F,132.0,35193.0,375.1,South,Elderly group,84.0
Breast,Arkansas,2018,85+ years,Female,F,112.0,38386.0,291.8,South,Elderly group,89.0
Breast,California,2018,20-24 years,Female,F,19.0,1309503.0,1.5,West,Young age group,24.0
