Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count,Population,Crude Rate
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,55-59 years,55-59,Male,M,53,337046,15.7
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,60-64 years ,60-64,Male,M,33,309206,10.7
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,65-69 years,65-69,Male,M,47,263272,17.9
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,70-74 years,70-74,Male,M,42,216344,19.4
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,75-79 years,75-79,Male,M,31,140632,22
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,80-84 years,80-84,Male,M,18,82151,21.9
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,1-4 years,01. Apr,Male,M,18,285161,6.3
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,25-29 years,25-29,Male,M,18,407049,4.4
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,30-34 years,30-34,Male,M,22,379694,5.8
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,35-39 years,35-39,Male,M,23,360579,6.4
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,40-44 years,40-44,Male,M,21,334469,6.3
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,45-49 years,45-49,Male,M,21,353382,5.9
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,50-54 years,50-54,Male,M,32,362360,8.8
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,55-59 years,55-59,Male,M,54,393519,13.7
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,60-64 years ,60-64,Male,M,59,382794,15.4
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,65-69 years,65-69,Male,M,47,315278,14.9
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,70-74 years,70-74,Male,M,54,240998,22.4
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,75-79 years,75-79,Male,M,46,156623,29.4
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,80-84 years,80-84,Male,M,28,99822,28
,Brain and Other Nervous System,31010-31040,Ohio,39,2019,2019,85+ years,85+,Male,M,16,87895,18.2
,Brain and Other Nervous System,31010-31040,Oklahoma,40,2019,2019,60-64 years ,60-64,Male,M,16,115268,13.9
,Brain and Other Nervous System,31010-31040,Oklahoma,40,2019,2019,70-74 years,70-74,Male,M,21,76039,27.6
,Brain and Other Nervous System,31010-31040,Oregon,41,2019,2019,55-59 years,55-59,Male,M,18,129642,13.9
,Brain and Other Nervous System,31010-31040,Oregon,41,2019,2019,70-74 years,70-74,Male,M,25,97325,25.7
,Brain and Other Nervous System,31010-31040,Oregon,41,2019,2019,75-79 years,75-79,Male,M,19,62717,30.3
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,30-34 years,30-34,Male,M,19,430564,4.4
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,35-39 years,35-39,Male,M,18,397183,4.5
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,45-49 years,45-49,Male,M,29,383639,7.6
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,50-54 years,50-54,Male,M,42,408558,10.3
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,55-59 years,55-59,Male,M,65,443170,14.7
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,60-64 years ,60-64,Male,M,72,431980,16.7
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,65-69 years,65-69,Male,M,55,359174,15.3
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,70-74 years,70-74,Male,M,70,277092,25.3
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,75-79 years,75-79,Male,M,44,184992,23.8
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,80-84 years,80-84,Male,M,31,118354,26.2
,Brain and Other Nervous System,31010-31040,Pennsylvania,42,2019,2019,85+ years,85+,Male,M,32,112134,28.5
,Brain and Other Nervous System,31010-31040,South Carolina,45,2019,2019,55-59 years,55-59,Male,M,29,165887,17.5
,Brain and Other Nervous System,31010-31040,South Carolina,45,2019,2019,60-64 years ,60-64,Male,M,28,157735,17.8
,Brain and Other Nervous System,31010-31040,South Carolina,45,2019,2019,65-69 years,65-69,Male,M,32,141000,22.7
,Brain and Other Nervous System,31010-31040,South Carolina,45,2019,2019,70-74 years,70-74,Male,M,34,121417,28
,Brain and Other Nervous System,31010-31040,South Carolina,45,2019,2019,75-79 years,75-79,Male,M,18,78665,22.9
,Brain and Other Nervous System,31010-31040,Tennessee,47,2019,2019,50-54 years,50-54,Male,M,19,212010,9
,Brain and Other Nervous System,31010-31040,Tennessee,47,2019,2019,55-59 years,55-59,Male,M,29,220864,13.1
,Brain and Other Nervous System,31010-31040,Tennessee,47,2019,2019,60-64 years ,60-64,Male,M,33,205131,16.1
,Brain and Other Nervous System,31010-31040,Tennessee,47,2019,2019,65-69 years,65-69,Male,M,33,173646,19
,Brain and Other Nervous System,31010-31040,Tennessee,47,2019,2019,70-74 years,70-74,Male,M,33,142707,23.1
,Brain and Other Nervous System,31010-31040,Tennessee,47,2019,2019,75-79 years,75-79,Male,M,18,93788,19.2
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,1-4 years,01. Apr,Male,M,33,823311,4
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,5-9 years,05. Sep,Male,M,23,1053421,2.2
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,10-14 years,Oct 14,Male,M,24,1074531,2.2
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,15-19 years,15-19,Male,M,22,1049448,2.1
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,20-24 years,20-24,Male,M,23,1029650,2.2
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,25-29 years,25-29,Male,M,30,1110868,2.7
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,30-34 years,30-34,Male,M,34,1070442,3.2
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,35-39 years,35-39,Male,M,32,1039961,3.1
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,40-44 years,40-44,Male,M,42,937614,4.5
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,45-49 years,45-49,Male,M,72,917789,7.8
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,50-54 years,50-54,Male,M,73,841954,8.7
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,55-59 years,55-59,Male,M,84,841924,10
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,60-64 years ,60-64,Male,M,100,746424,13.4
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,65-69 years,65-69,Male,M,117,589968,19.8
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,70-74 years,70-74,Male,M,97,455698,21.3
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,75-79 years,75-79,Male,M,80,294225,27.2
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,80-84 years,80-84,Male,M,46,177336,25.9
,Brain and Other Nervous System,31010-31040,Texas,48,2019,2019,85+ years,85+,Male,M,38,148369,25.6
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,40-44 years,40-44,Male,M,16,263224,6.1
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,50-54 years,50-54,Male,M,36,270164,13.3
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,55-59 years,55-59,Male,M,31,284217,10.9
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,60-64 years ,60-64,Male,M,41,252619,16.2
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,65-69 years,65-69,Male,M,30,206562,14.5
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,70-74 years,70-74,Male,M,28,166534,16.8
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,75-79 years,75-79,Male,M,23,110112,20.9
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,80-84 years,80-84,Male,M,16,65635,24.4
,Brain and Other Nervous System,31010-31040,Virginia,51,2019,2019,85+ years,85+,Male,M,20,54645,36.6
,Brain and Other Nervous System,31010-31040,Washington,53,2019,2019,50-54 years,50-54,Male,M,22,228861,9.6
,Brain and Other Nervous System,31010-31040,Washington,53,2019,2019,55-59 years,55-59,Male,M,35,241312,14.5
,Brain and Other Nervous System,31010-31040,Washington,53,2019,2019,60-64 years ,60-64,Male,M,47,228571,20.6
,Brain and Other Nervous System,31010-31040,Washington,53,2019,2019,65-69 years,65-69,Male,M,40,194596,20.6
,Brain and Other Nervous System,31010-31040,Washington,53,2019,2019,70-74 years,70-74,Male,M,46,152064,30.3
,Brain and Other Nervous System,31010-31040,Washington,53,2019,2019,75-79 years,75-79,Male,M,30,97682,30.7
,Brain and Other Nervous System,31010-31040,Washington,53,2019,2019,80-84 years,80-84,Male,M,22,56588,38.9
,Brain and Other Nervous System,31010-31040,Wisconsin,55,2019,2019,50-54 years,50-54,Male,M,16,186091,8.6
,Brain and Other Nervous System,31010-31040,Wisconsin,55,2019,2019,55-59 years,55-59,Male,M,35,208616,16.8
,Brain and Other Nervous System,31010-31040,Wisconsin,55,2019,2019,60-64 years ,60-64,Male,M,33,197858,16.7
,Brain and Other Nervous System,31010-31040,Wisconsin,55,2019,2019,65-69 years,65-69,Male,M,39,165605,23.6
,Brain and Other Nervous System,31010-31040,Wisconsin,55,2019,2019,70-74 years,70-74,Male,M,30,123134,24.4
,Brain and Other Nervous System,31010-31040,Wisconsin,55,2019,2019,75-79 years,75-79,Male,M,25,79955,31.3
,Brain and Other Nervous System,31010-31040,Wisconsin,55,2019,2019,80-84 years,80-84,Male,M,18,51143,35.2
,Breast,26000,Arizona,4,2019,2019,65-69 years,65-69,Male,M,18,184808,9.7
,Breast,26000,California,6,2019,2019,55-59 years,55-59,Male,M,21,1230245,1.7
,Breast,26000,California,6,2019,2019,60-64 years ,60-64,Male,M,34,1097086,3.1
,Breast,26000,California,6,2019,2019,65-69 years,65-69,Male,M,22,883216,2.5
,Breast,26000,California,6,2019,2019,70-74 years,70-74,Male,M,40,686769,5.8
,Breast,26000,California,6,2019,2019,75-79 years,75-79,Male,M,29,451472,6.4
,Breast,26000,California,6,2019,2019,80-84 years,80-84,Male,M,23,291587,7.9
