Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,1-4 years,01. Apr,Male,M,38
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,5-9 years,05. Sep,Female,F,25
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,5-9 years,05. Sep,Male,M,42
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,10-14 years,Oct 14,Female,F,28
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,10-14 years,Oct 14,Male,M,28
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,15-19 years,15-19,Female,F,19
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,15-19 years,15-19,Male,M,21
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,20-24 years,20-24,Female,F,21
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,20-24 years,20-24,Male,M,27
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,25-29 years,25-29,Female,F,21
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,25-29 years,25-29,Male,M,30
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,30-34 years,30-34,Female,F,41
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,30-34 years,30-34,Male,M,57
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,35-39 years,35-39,Female,F,33
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,35-39 years,35-39,Male,M,50
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,40-44 years,40-44,Female,F,38
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,40-44 years,40-44,Male,M,73
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,45-49 years,45-49,Female,F,52
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,45-49 years,45-49,Male,M,74
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,50-54 years,50-54,Female,F,69
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,50-54 years,50-54,Male,M,95
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,55-59 years,55-59,Female,F,104
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,55-59 years,55-59,Male,M,134
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,60-64 years ,60-64,Female,F,114
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,60-64 years ,60-64,Male,M,164
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,65-69 years,65-69,Female,F,128
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,65-69 years,65-69,Male,M,169
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,70-74 years,70-74,Female,F,108
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,70-74 years,70-74,Male,M,137
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,75-79 years,75-79,Female,F,79
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,75-79 years,75-79,Male,M,113
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,80-84 years,80-84,Female,F,62
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,80-84 years,80-84,Male,M,67
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,85+ years,85+,Female,F,62
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,85+ years,85+,Male,M,53
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,45-49 years,45-49,Male,M,16
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,55-59 years,55-59,Male,M,23
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,60-64 years ,60-64,Male,M,21
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,65-69 years,65-69,Female,F,22
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,65-69 years,65-69,Male,M,24
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,70-74 years,70-74,Female,F,22
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,70-74 years,70-74,Male,M,18
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,75-79 years,75-79,Female,F,17
,Brain and Other Nervous System,31010-31040,Connecticut,9,2019,2019,55-59 years,55-59,Female,F,22
,Brain and Other Nervous System,31010-31040,Connecticut,9,2019,2019,70-74 years,70-74,Male,M,26
,Brain and Other Nervous System,31010-31040,Connecticut,9,2019,2019,75-79 years,75-79,Female,F,17
,Brain and Other Nervous System,31010-31040,Connecticut,9,2019,2019,75-79 years,75-79,Male,M,16
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,1-4 years,01. Apr,Female,F,28
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,1-4 years,01. Apr,Male,M,33
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,5-9 years,05. Sep,Female,F,27
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,5-9 years,05. Sep,Male,M,17
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,10-14 years,Oct 14,Female,F,19
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,10-14 years,Oct 14,Male,M,18
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,15-19 years,15-19,Male,M,20
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,20-24 years,20-24,Male,M,19
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,25-29 years,25-29,Female,F,17
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,25-29 years,25-29,Male,M,19
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,30-34 years,30-34,Female,F,23
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,30-34 years,30-34,Male,M,28
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,35-39 years,35-39,Female,F,18
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,35-39 years,35-39,Male,M,21
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,40-44 years,40-44,Male,M,32
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,45-49 years,45-49,Female,F,31
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,45-49 years,45-49,Male,M,35
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,50-54 years,50-54,Female,F,41
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,50-54 years,50-54,Male,M,57
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,55-59 years,55-59,Female,F,60
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,55-59 years,55-59,Male,M,96
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,60-64 years ,60-64,Female,F,78
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,60-64 years ,60-64,Male,M,117
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,65-69 years,65-69,Female,F,94
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,65-69 years,65-69,Male,M,148
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,70-74 years,70-74,Female,F,66
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,70-74 years,70-74,Male,M,109
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,75-79 years,75-79,Female,F,76
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,75-79 years,75-79,Male,M,91
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,80-84 years,80-84,Female,F,55
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,80-84 years,80-84,Male,M,68
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,85+ years,85+,Female,F,55
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,85+ years,85+,Male,M,51
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,45-49 years,45-49,Male,M,19
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,50-54 years,50-54,Male,M,25
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,55-59 years,55-59,Female,F,20
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,55-59 years,55-59,Male,M,36
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,60-64 years ,60-64,Female,F,35
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,60-64 years ,60-64,Male,M,35
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,65-69 years,65-69,Female,F,29
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,65-69 years,65-69,Male,M,52
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,70-74 years,70-74,Female,F,39
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,70-74 years,70-74,Male,M,36
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,75-79 years,75-79,Female,F,17
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,75-79 years,75-79,Male,M,29
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,80-84 years,80-84,Female,F,18
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,85+ years,85+,Female,F,17
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,85+ years,85+,Male,M,18
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,1-4 years,01. Apr,Male,M,17
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,5-9 years,05. Sep,Male,M,18
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,30-34 years,30-34,Male,M,21
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,35-39 years,35-39,Female,F,16
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,35-39 years,35-39,Male,M,23
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,40-44 years,40-44,Male,M,20
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,45-49 years,45-49,Female,F,18
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,45-49 years,45-49,Male,M,31
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,50-54 years,50-54,Female,F,24
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,50-54 years,50-54,Male,M,31
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,55-59 years,55-59,Female,F,38
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,55-59 years,55-59,Male,M,52
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,60-64 years ,60-64,Female,F,41
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,60-64 years ,60-64,Male,M,37
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,65-69 years,65-69,Female,F,47
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,65-69 years,65-69,Male,M,59
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,70-74 years,70-74,Female,F,39
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,70-74 years,70-74,Male,M,39
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,75-79 years,75-79,Female,F,24
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,75-79 years,75-79,Male,M,32
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,80-84 years,80-84,Female,F,19
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,80-84 years,80-84,Male,M,32
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,85+ years,85+,Female,F,17
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,85+ years,85+,Male,M,27
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,55-59 years,55-59,Female,F,18
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,55-59 years,55-59,Male,M,23
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,60-64 years ,60-64,Female,F,19
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,60-64 years ,60-64,Male,M,25
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,65-69 years,65-69,Female,F,26
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,65-69 years,65-69,Male,M,31
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,70-74 years,70-74,Female,F,20
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,70-74 years,70-74,Male,M,29
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,75-79 years,75-79,Female,F,16
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,80-84 years,80-84,Male,M,17
,Brain and Other Nervous System,31010-31040,Iowa,19,2019,2019,60-64 years ,60-64,Male,M,16
,Brain and Other Nervous System,31010-31040,Iowa,19,2019,2019,65-69 years,65-69,Male,M,19
,Brain and Other Nervous System,31010-31040,Kansas,20,2019,2019,60-64 years ,60-64,Male,M,16
,Brain and Other Nervous System,31010-31040,Kansas,20,2019,2019,65-69 years,65-69,Male,M,19
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,55-59 years,55-59,Female,F,18
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,55-59 years,55-59,Male,M,20
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,60-64 years ,60-64,Female,F,17
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,60-64 years ,60-64,Male,M,27
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,65-69 years,65-69,Female,F,16
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,65-69 years,65-69,Male,M,19
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,70-74 years,70-74,Female,F,21
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,75-79 years,75-79,Male,M,18
,Brain and Other Nervous System,31010-31040,Louisiana,22,2019,2019,60-64 years ,60-64,Male,M,24
,Brain and Other Nervous System,31010-31040,Louisiana,22,2019,2019,70-74 years,70-74,Female,F,17
,Brain and Other Nervous System,31010-31040,Louisiana,22,2019,2019,70-74 years,70-74,Male,M,20
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,55-59 years,55-59,Female,F,18
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,55-59 years,55-59,Male,M,29
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,60-64 years ,60-64,Female,F,21
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,60-64 years ,60-64,Male,M,25
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,65-69 years,65-69,Female,F,19
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,65-69 years,65-69,Male,M,29
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,70-74 years,70-74,Female,F,24
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,70-74 years,70-74,Male,M,33
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,75-79 years,75-79,Male,M,28
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,85+ years,85+,Female,F,16
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,40-44 years,40-44,Male,M,16
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,50-54 years,50-54,Female,F,20
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,55-59 years,55-59,Female,F,18
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,55-59 years,55-59,Male,M,25
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,60-64 years ,60-64,Female,F,29
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,60-64 years ,60-64,Male,M,33
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,65-69 years,65-69,Female,F,20
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,65-69 years,65-69,Male,M,36
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,70-74 years,70-74,Female,F,24
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,70-74 years,70-74,Male,M,30
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,75-79 years,75-79,Female,F,23
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,75-79 years,75-79,Male,M,29
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,80-84 years,80-84,Male,M,17
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,85+ years,85+,Female,F,16
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,35-39 years,35-39,Male,M,17
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,45-49 years,45-49,Male,M,17
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,50-54 years,50-54,Female,F,18
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,50-54 years,50-54,Male,M,20
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,55-59 years,55-59,Female,F,28
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,55-59 years,55-59,Male,M,42
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,60-64 years ,60-64,Female,F,29
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,60-64 years ,60-64,Male,M,46
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,65-69 years,65-69,Female,F,44
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,65-69 years,65-69,Male,M,51
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,70-74 years,70-74,Female,F,41
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,70-74 years,70-74,Male,M,39
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,75-79 years,75-79,Female,F,31
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,75-79 years,75-79,Male,M,36
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,80-84 years,80-84,Female,F,16
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,80-84 years,80-84,Male,M,26
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,55-59 years,55-59,Female,F,26
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,55-59 years,55-59,Male,M,20
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,60-64 years ,60-64,Female,F,19
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,60-64 years ,60-64,Male,M,26
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,65-69 years,65-69,Female,F,17
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,65-69 years,65-69,Male,M,17
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,70-74 years,70-74,Male,M,22
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,75-79 years,75-79,Male,M,23
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,50-54 years,50-54,Male,M,28
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,55-59 years,55-59,Female,F,16
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,55-59 years,55-59,Male,M,29
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,60-64 years ,60-64,Female,F,18
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,60-64 years ,60-64,Male,M,33
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,65-69 years,65-69,Female,F,23
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,65-69 years,65-69,Male,M,45
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,70-74 years,70-74,Female,F,20
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,70-74 years,70-74,Male,M,26
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,75-79 years,75-79,Female,F,20
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,35-39 years,35-39,Male,M,17
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,45-49 years,45-49,Male,M,17
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,50-54 years,50-54,Female,F,18
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,50-54 years,50-54,Male,M,29
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,55-59 years,55-59,Female,F,27
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,55-59 years,55-59,Male,M,37
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,60-64 years ,60-64,Female,F,31
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,60-64 years ,60-64,Male,M,35
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,65-69 years,65-69,Female,F,30
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,65-69 years,65-69,Male,M,57
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,70-74 years,70-74,Female,F,34
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,70-74 years,70-74,Male,M,45
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,75-79 years,75-79,Female,F,33
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,75-79 years,75-79,Male,M,33
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,80-84 years,80-84,Female,F,26
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,85+ years,85+,Female,F,19
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,85+ years,85+,Male,M,19
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,1-4 years,01. Apr,Female,F,19
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,5-9 years,05. Sep,Male,M,29
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,10-14 years,Oct 14,Female,F,17
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,10-14 years,Oct 14,Male,M,23
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,20-24 years,20-24,Male,M,23
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,25-29 years,25-29,Female,F,17
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,25-29 years,25-29,Male,M,19
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,30-34 years,30-34,Female,F,23
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,30-34 years,30-34,Male,M,35
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,35-39 years,35-39,Female,F,25
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,35-39 years,35-39,Male,M,28
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,40-44 years,40-44,Male,M,40
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,45-49 years,45-49,Female,F,25
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,45-49 years,45-49,Male,M,48
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,50-54 years,50-54,Female,F,39
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,50-54 years,50-54,Male,M,52
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,55-59 years,55-59,Female,F,56
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,55-59 years,55-59,Male,M,75
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,60-64 years ,60-64,Female,F,56
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,60-64 years ,60-64,Male,M,82
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,65-69 years,65-69,Female,F,66
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,65-69 years,65-69,Male,M,80
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,70-74 years,70-74,Female,F,79
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,70-74 years,70-74,Male,M,69
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,75-79 years,75-79,Female,F,52
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,75-79 years,75-79,Male,M,54
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,80-84 years,80-84,Female,F,41
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,80-84 years,80-84,Male,M,46
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,85+ years,85+,Female,F,38
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,85+ years,85+,Male,M,27
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,40-44 years,40-44,Male,M,23
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,45-49 years,45-49,Male,M,24
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,50-54 years,50-54,Female,F,19
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,50-54 years,50-54,Male,M,32
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,55-59 years,55-59,Female,F,21
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,55-59 years,55-59,Male,M,53
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,60-64 years ,60-64,Female,F,37
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,60-64 years ,60-64,Male,M,33
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,65-69 years,65-69,Female,F,34
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,65-69 years,65-69,Male,M,47
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,70-74 years,70-74,Female,F,33
